counties,Homicide,Offences Against The Person,Sexual Offences,Burglary,Robbery,Theft And Handling,Fraud And Forgery ,Criminal Damage,Drugs Offences,Public Order Offences,All Other Offences (excluding Motoring),Motoring Offences ,Date
Avon and Somerset,0,228,35,49,8,338,18,93,148,123,63,256,31/01/2014
Bedfordshire,0,68,2,7,16,75,17,22,31,30,13,171,31/01/2014
Cambridgeshire,0,101,10,18,6,148,10,30,47,37,28,103,31/01/2014
Cheshire,0,170,15,38,10,205,14,39,64,77,50,264,31/01/2014
Cleveland,2,119,11,36,3,334,11,46,65,123,34,228,31/01/2014
Cumbria,0,113,4,16,1,115,6,38,52,78,52,112,31/01/2014
Derbyshire,0,135,22,36,5,194,15,53,86,59,28,251,31/01/2014
Devon and Cornwall,0,220,16,25,10,199,18,74,96,83,75,410,31/01/2014
Dorset,0,87,6,20,6,96,4,30,47,42,61,112,31/01/2014
Durham,1,105,9,28,0,171,20,42,38,82,12,130,31/01/2014
Dyfed Powys,0,69,4,8,3,79,4,30,82,81,19,274,31/01/2014
Essex,3,331,11,42,7,327,31,101,111,135,83,215,31/01/2014
Gloucestershire,0,71,4,20,3,89,9,14,31,25,5,97,31/01/2014
GreaterManchester,2,478,52,94,34,495,39,143,200,297,179,772,31/01/2014
Gwent,0,85,5,11,2,129,5,38,48,74,21,106,31/01/2014
Hampshire,0,303,19,34,4,317,25,78,187,115,162,245,31/01/2014
Hertfordshire,3,113,8,20,4,149,13,27,70,53,28,153,31/01/2014
Humberside,0,217,16,29,7,271,16,79,82,128,47,390,31/01/2014
Kent,0,230,19,59,10,356,21,87,85,38,200,142,31/01/2014
Lancashire,4,337,29,83,24,383,20,114,101,223,104,300,31/01/2014
Leicestershire,2,142,15,13,4,155,12,23,34,50,32,307,31/01/2014
Lincolnshire,1,117,5,14,2,128,3,26,28,71,8,155,31/01/2014
Merseyside,2,236,27,39,21,264,21,65,279,128,148,391,31/01/2014
Norfolk,0,193,15,16,3,190,15,41,60,83,65,135,31/01/2014
Northamptonshire,0,106,6,16,4,128,5,22,35,29,11,214,31/01/2014
Northumbria,3,240,30,74,13,526,31,105,115,148,280,503,31/01/2014
North Wales,1,118,10,26,2,165,7,45,57,75,118,268,31/01/2014
North Yorkshire,0,98,8,18,1,171,8,39,48,100,28,137,31/01/2014
Nottinghamshire,0,179,14,43,22,247,17,55,78,75,67,189,31/01/2014
South Wales,0,362,7,49,4,359,19,124,161,243,70,735,31/01/2014
South Yorkshire,2,229,18,51,10,409,13,80,140,164,44,362,31/01/2014
Staffordshire,2,165,10,28,18,201,12,53,84,97,23,646,31/01/2014
Suffolk,1,165,4,18,2,111,8,33,66,75,33,79,31/01/2014
Surrey,0,139,7,30,1,114,11,24,79,66,74,201,31/01/2014
Sussex,0,266,21,40,8,290,18,73,115,113,82,239,31/01/2014
Thames Valley,4,276,24,41,13,336,24,59,147,117,47,429,31/01/2014
Warwickshire,0,42,2,17,0,58,2,15,21,28,22,227,31/01/2014
West Mercia,0,162,10,35,4,172,10,40,68,99,25,256,31/01/2014
West Midlands,1,419,45,97,49,559,31,133,247,135,201,394,31/01/2014
West Yorkshire,3,480,44,96,31,531,27,111,198,147,68,363,31/01/2014
Wiltshire,1,67,9,15,0,85,5,37,29,27,54,95,31/01/2014
Avon and Somerset,0,263,41,39,7,320,12,76,140,131,55,191,01/02/2014
Bedfordshire,0,59,6,11,7,84,7,12,19,7,11,36,01/02/2014
Cambridgeshire,0,109,16,25,0,111,17,21,60,30,26,76,01/02/2014
